Table name: 2030e873-6a99-4e41-b057-6b9cace12dd5
+--------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| table_name                     | description                                                                                                                                                                                              |
| asm.slodar_paranal             | Table containing the ambient measurements of the SLOpe Detection And Ranging (SLODAR). SLODAR is optimised to measure the vertical profile of the surface layer of turbulence, in the first 100m abov... |
| dbo.raw                        | Table describing the ESO raw data observed from the various instruments of the La Silla Paranal Observatory, including APEX. For detailed configuration parameters of such observations, please refer... |
| dbo.ssa                        | Table of ESO 1D reduced spectra either generated by ESO observers or by a (unattended) processing pipeline using certified master calibrations. The table is actually used by the ESO Simple Spectral... |
| ist.alpaca                     | Table of the ALPACA raw data. Each record corresponds to one raw file and provides information about the observed target, observing programme, related telescope/instrument setup parameters, and amb... |
| ist.amber                      | Table of the AMBER raw data. Each record corresponds to one raw file and provides information about the observed target, observing programme, related telescope/instrument setup parameters, and ambi... |
| ist.apex                       | Table of the APEX raw data. Note that the APEX raw data table repeats the same identifier (dp_id) for each of the different receivers used (up to 8); the corresponding records show different rstfrq... |
| ist.apex_quicklooks            | Table of the APEX quick look data products. Each TAR file contains observing logs and (in most cases) quick reductions of the data, including the scripts used to produce them. APEX information page... |
| ist.crires                     | Table of the CRIRES raw data. Each record corresponds to one raw file and provides information about the observed target, observing programme, related telescope/instrument setup parameters, and amb... |
| ist.efosc                      | Table of the EFOSC raw data. Each record corresponds to one raw file and provides information about the observed target, observing programme, related telescope/instrument setup parameters, and ambi... |
| ist.eris                       | Table of the ERIS raw data. Each record corresponds to one raw file and provides information about the observed target, observing programme, related telescope/instrument setup parameters, and ambie... |
| ist.espresso                   | Table of the ESPRESSO raw data. Each record corresponds to one raw file and provides information about the observed target, observing programme, related telescope/instrument setup parameters, and a... |
| ist.fiat                       | Table of the FIAT raw data. Each record corresponds to one raw file and provides information about the observed target, observing programme, related telescope/instrument setup parameters, and ambie... |
| ist.fors1                      | Table of the FORS1 raw data. Each record corresponds to one raw file and provides information about the observed target, observing programme, related telescope/instrument setup parameters, and ambi... |
| ist.fors2                      | Table of the FORS2 raw data. Each record corresponds to one raw file and provides information about the observed target, observing programme, related telescope/instrument setup parameters, and ambi... |
| ist.giraffe                    | Table of the GIRAFFE raw data. Each record corresponds to one raw file and provides information about the observed target, observing programme, related telescope/instrument setup parameters, and am... |
| ist.gravity                    | Table of the GRAVITY raw data. Each record corresponds to one raw file and provides information about the observed target, observing programme, related telescope/instrument setup parameters, and am... |
| ist.harps                      | Table of the HARPS raw data. Each record corresponds to one raw file and provides information about the observed target, observing programme, related telescope/instrument setup parameters, and ambi... |
| ist.hawki                      | Table of the HAWKI raw data. Each record corresponds to one raw file and provides information about the observed target, observing programme, related telescope/instrument setup parameters, and ambi... |
| ist.isaac                      | Table of the ISAAC raw data. Each record corresponds to one raw file and provides information about the observed target, observing programme, related telescope/instrument setup parameters, and ambi... |
| ist.kmos                       | Table of the KMOS raw data. Each record corresponds to one raw file and provides information about the observed target, observing programme, related telescope/instrument setup parameters, and ambie... |
| ist.matisse                    | Table of the MATISSE raw data. Each record corresponds to one raw file and provides information about the observed target, observing programme, related telescope/instrument setup parameters, and am... |
| ist.midi                       | Table of the MIDI raw data. Each record corresponds to one raw file and provides information about the observed target, observing programme, related telescope/instrument setup parameters, and ambie... |
| ist.muse                       | Table of the MUSE raw data. Each record corresponds to one raw file and provides information about the observed target, observing programme, related telescope/instrument setup parameters, and ambie... |
| ist.naco                       | Table of the NACO raw data. Each record corresponds to one raw file and provides information about the observed target, observing programme, related telescope/instrument setup parameters, and ambie... |
| ist.nirps                      | Table of the NIRPS raw data. Each record corresponds to one raw file and provides information about the observed target, observing programme, related telescope/instrument setup parameters, and ambi... |
| ist.omegacam                   | Table of the OMEGACAM raw data. Each record corresponds to one raw file and provides information about the observed target, observing programme, related telescope/instrument setup parameters, and a... |
| ist.pionier                    | Table of the PIONIER raw data. Each record corresponds to one raw file and provides information about the observed target, observing programme, related telescope/instrument setup parameters, and am... |
| ist.sinfoni                    | Table of the SINFONI raw data. Each record corresponds to one raw file and provides information about the observed target, observing programme, related telescope/instrument setup parameters, and am... |
| ist.sofi                       | Table of the SOFI raw data. Each record corresponds to one raw file and provides information about the observed target, observing programme, related telescope/instrument setup parameters, and ambie... |
| ist.sphere                     | Table of the SPHERE raw data. Each record corresponds to one raw file and provides information about the observed target, observing programme, related telescope/instrument setup parameters, and amb... |
| ist.uves                       | Table of the UVES raw data. Each record corresponds to one raw file and provides information about the observed target, observing programme, related telescope/instrument setup parameters, and ambie... |
| ist.vimos                      | Table of the VIMOS raw data. Each record corresponds to one raw file and provides information about the observed target, observing programme, related telescope/instrument setup parameters, and ambi... |
| ist.vircam                     | Table of the VIRCAM raw data. Each record corresponds to one raw file and provides information about the observed target, observing programme, related telescope/instrument setup parameters, and amb... |
| ist.visir                      | Table of the VISIR raw data. Each record corresponds to one raw file and provides information about the observed target, observing programme, related telescope/instrument setup parameters, and ambi... |
| ist.wlgsu                      | Table of the WLGSU raw data. Each record corresponds to one raw file and provides information about the observed target, observing programme, related telescope/instrument setup parameters, and ambi... |
| ist.xshooter                   | Table of the XSHOOTER raw data. Each record corresponds to one raw file and provides information about the observed target, observing programme, related telescope/instrument setup parameters, and a... |
| ivoa.ObsCore                   | Table of all ESO reduced data products. It provides browsing capability and access point to all reduced data (spectra, images, spectral data cubes, visibilities) and derived products (source tables... |
| phase3v2.files                 | Administrative table containing all phase 3  product files. (cfr phase3v2..provenance).                                                                                                                  |
| phase3v2.product_files         | Table that, for any Phase 3 data product, lists its file components: one science file and 0 or more ancillary files. The table does not cover products that are obsolete or deprecated. For each file... |
| phase3v2.provenance            | Table with the provenance information: (source_file, product_file), where source_file is the ESO archive id of the progenitor of the file identified by the number product_file. (cfr phase3v2..files).  |
| TAP_SCHEMA.columns             | description of columns in this tableset                                                                                                                                                                  |
| TAP_SCHEMA.key_columns         | description of foreign key columns in this tableset                                                                                                                                                      |
| TAP_SCHEMA.keys                | description of foreign keys in this tableset                                                                                                                                                             |
| TAP_SCHEMA.schemas             | description of schemas in this tableset                                                                                                                                                                  |
| TAP_SCHEMA.tables              | description of tables in this tableset                                                                                                                                                                   |
| util.collections               | Table that lists the data collections of the processed data, provided either by ESO observers or generated in-house, available in the ESO Science Archive Facility.                                      |
| util.docurl                    | Table that lists the urls of the web pages documenting various assets related to the ESO Science Archive Facility (for example, the fors2 instrument).                                                   |
+--------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
