Table name: e1824e4a-582d-433d-8558-e3e89d5c34a1
+---------------------+----------+-----------+-------------+--------+-----------------------------+------------------------------------------------------------------------+
| column_name         | datatype | arraysize | xtype       | unit   | ucd                         | utype                                                                  |
| publication_date    | char     | *         | timestamp   |        | time.publiYear              |                                                                        |
| release_description | char     | *         |             |        | meta.ref.url                |                                                                        |
| s_dec               | double   |           |             | deg    | pos.eq.dec                  | obscore:Char.SpatialAxis.Coverage.Location.Coord.Position2D.Value2.C2  |
| s_fov               | double   |           |             | deg    | phys.angSize;instr.fov      | obscore:Char.SpatialAxis.Coverage.Bounds.Extent.diameter               |
| s_pixel_scale       | double   |           |             | arcsec | phys.angSize;instr.pixel    | obscore:Char.SpatialAxis.Sampling.RefVal.SamplingPeriod                |
| s_ra                | double   |           |             | deg    | pos.eq.ra                   | obscore:Char.SpatialAxis.Coverage.Location.Coord.Position2D.Value2.C1  |
| s_region            | char     | *         | adql:REGION |        | pos.outline;obs.field       | obscore:Char.SpatialAxis.Coverage.Support.Area                         |
| s_resolution        | double   |           |             | arcsec | pos.angResolution           | obscore:Char.SpatialAxis.Resolution.Refval.value                       |
| s_xel1              | long     |           |             |        | meta.number                 | obscore:Char.SpatialAxis.numBins1                                      |
| s_xel2              | long     |           |             |        | meta.number                 | obscore:Char.SpatialAxis.numBins2                                      |
| snr                 | double   |           |             |        | stat.snr                    |                                                                        |
| strehl              | double   |           |             |        | instr.param                 |                                                                        |
| t_exptime           | double   |           |             | s      | time.duration;obs.exposure  | obscore:Char.TimeAxis.Coverage.Support.Extent                          |
| t_max               | double   |           |             | d      | time.end;obs.exposure       | obscore:Char.TimeAxis.Coverage.Bounds.Limits.StopTime                  |
| t_min               | double   |           |             | d      | time.start;obs.exposure     | obscore:Char.TimeAxis.Coverage.Bounds.Limits.StartTime                 |
| t_resolution        | double   |           |             | s      | time.resolution             | obscore:Char.TimeAxis.Resolution.Refval.value                          |
| t_xel               | long     |           |             |        | meta.number                 | obscore:Char.TimeAxis.numBins                                          |
| target_name         | char     | 256*      |             |        | meta.id;src                 | obscore:Target.name                                                    |
+---------------------+----------+-----------+-------------+--------+-----------------------------+------------------------------------------------------------------------+
